,0
0,0045496882716
1,0045496882662
2,0045496882280
3,0045496882266
4,0045496882303
5,0045496882648
6,0045496883386
7,0045496883409
8,0196068246754
9,0196068246761
10,0195122198862
11,0195122198732
12,0045496883799
13,0887276151625
14,0711719558255
15,0889842640724
16,0045496597399
17,0711719556756
18,0711719541028
19,0711719541035
20,0195697635496
21,0050036361088
22,0050036359290
23,0050036359276
24,0050036359498
25,0190199246225
26,0190199246386
27,0190199246300
28,0194850318245
29,0194850136894
30,0027242876880
31,0033317209507
32,0195908286103
33,0195133111140
34,0194850986062
35,0194850987328
36,0887276413914
37,0731855023158
38,0731855023356
39,0195553212571
40,0195713793469
41,0196068804015
42,0195553040785
43,0824142210307
44,0194850106415
45,0195891976685
46,0195477775152
47,0195133105170
48,0812550034127
49,0196068937997
50,0195697828119
51,0195122171407
52,0195122170639
53,0194850318610
54,0195122232061
55,0811138038670
56,0811138038687
57,0753759182427
58,0753759173166
59,0818279027891
60,0711719521112
61,0889842893199
62,0606449136760
63,0606449144246
64,0606449119817
65,0606449131505
66,0811659036490
67,0814855022670
68,0811659036001
69,0193424532858
70,0194850021763
71,0612572216767
72,0097855128744
73,0812550034356
74,0812550034370
75,0887961904123
76,0778988402825
77,0778988366370
78,0735541099205
79,0735541054211
80,0735541079207
81,0887276553269
82,0195890629162
83,0194778319775
84,0811659032867
85,0196068320027
86,0196068224110
87,0829610003542
88,0810056144555
89,0824142230329
90,0190199098428
91,0194632976403
92,0194632975345
93,0195133042918
94,0194632578225
95,0194552172831
96,0195042613995
97,0887276371399
98,0192876771723
99,0195908164685
100,0889842512267
101,0818279023213
